id,company_name,address,city,state,zip_code,country,phone,email,website,licence_number,doing_business_as,included_establishments,province,postal_code,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
15,Advocom Global Trading Inc.,24 Platt Street PO Box 116,Plattsville,Ontario,N0J1S0,Canada,,,,3B4Y83Y3,,,Ontario,N0J1S0,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.577734+00:00,20260325_232013,d732582df838bbe889b849633219a60f,2026-03-25 23:20:20,2026-03-25 23:20:20,1
16,Sonoma Creamery LLC,"21750 8th St E #1, Sonoma, California",United States,95476,,Canada,,,,3B67GWXN,,,95476,,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.577734+00:00,20260325_232013,552b5c1cc6674e1976e6de035841aa29,2026-03-25 23:20:20,2026-03-25 23:20:20,1
17,SEBGEO INTERNATIONAL INC.,2336 Verne Bowen St,Oshawa,Ontario,L1L0V6,Canada,,,,3B69BLF7,,,Ontario,L1L0V6,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,4b9e8996a0f36e517861892842d758d6,2026-03-25 23:20:20,2026-03-25 23:20:20,1
18,DBC Marine Safety Systems Ltd,1689 Cliveden Ave,Delta,British Columbia,V3M6V5,Canada,,,,3B69WFHW,,,British Columbia,V3M6V5,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,9e727fdcd8111a1f9b6ff434c3f7eb4f,2026-03-25 23:20:20,2026-03-25 23:20:20,1
19,1001294289 Ontario Incorporated,14-400 Finchdene Sq,Scarborough,Ontario,M1X1E2,Canada,,,,3B69WH8D,,,Ontario,M1X1E2,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,a88a3c5a9f19515ed87448f4c07c4870,2026-03-25 23:20:20,2026-03-25 23:20:20,1
20,North Hydration Ltd.,128-4925 Barlow Trail NE,Calgary,Alberta,T2E3J2,Canada,,,,3B6BW6R3,North Water,"128-4925 Barlow Trail NE, Calgary, Alberta, Canada, T2E3J2",Alberta,T2E3J2,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,98ca46713f2b9076cd9e6c821dfa9b90,2026-03-25 23:20:20,2026-03-25 23:20:20,1
21,Five Star Foods Inc.,1 Van Der Graaf Crt,Brampton,Ontario,L6T5E5,Canada,,,,3B6G476G,,"5655 Timberlea Blvd, Mississauga, Ontario, Canada, L4W2S4",Ontario,L6T5E5,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,51b3dbd0547e6c469330287a59d43f12,2026-03-25 23:20:20,2026-03-25 23:20:20,1
22,West Broadway Holdings Ltd.,2208-5113 Garden City Rd,Richmond,British Columbia,V6X4H5,Canada,,,,3B6HFHL7,,,British Columbia,V6X4H5,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,ad0ad893352a09bceb6f3a643b31e38a,2026-03-25 23:20:20,2026-03-25 23:20:20,1
23,Pure for Pets LLC,"4931 W 71st Pl, Westminster, Colorado",United States,80030,,Canada,,,,3B6LDY66,,,80030,,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,20d1e19259a7c255117f411b8068f50d,2026-03-25 23:20:20,2026-03-25 23:20:20,1
24,Dirty Laundry Vineyard Ltd.,"7311 Fiske St, Summerland, British Columbia",Canada,v0h1z2,,Canada,,,,3B76PYW3,,"7311 Fiske St, Summerland, British Columbia, Canada, V0H1z2",v0h1z2,,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,4e41fe047085cb0e681d6efbabed56d7,2026-03-25 23:20:20,2026-03-25 23:20:20,1
25,Oleh Zherebetskyi,6-35 Huron Heights Dr,Newmarket,Ontario,L3Y3J8,Canada,,,,3B79NMR4,,,Ontario,L3Y3J8,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,15a908432bdf498e4605544f67e3ec9e,2026-03-25 23:20:20,2026-03-25 23:20:20,1
26,Captain Little Seafood Ltd.,413 Central Port Mouton Rd,Port Mouton,Nova Scotia,B0T1T0,Canada,,,,3B7M3C47,,"413 Central Port Mouton Rd, Port Mouton, Nova Scotia, Canada, B0T1T0",Nova Scotia,B0T1T0,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,c26524b2309926a2e6529e99b69d3fdd,2026-03-25 23:20:20,2026-03-25 23:20:20,1
27,Vinaya Enterprise Inc.,911-123 10 Ave SW,Calgary,Alberta,T2R1K8,Canada,,,,3B7MMLWN,,,Alberta,T2R1K8,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,890f5689ad128ce2528af48aef12f937,2026-03-25 23:20:20,2026-03-25 23:20:20,1
28,Joseph Domenichiello,319 Hastings St W,Vancouver,British Columbia,V6B1H6,Canada,,,,3B7RVP3H,,,British Columbia,V6B1H6,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,8ad52df444944303dd676a3254e10b95,2026-03-25 23:20:20,2026-03-25 23:20:20,1
29,Birdal Electronics and Watchmaking Trade Ltd.,71 Woodgreen Dr,Woodbridge,Ontario,L4L3B2,Canada,,,,3B83PYMR,,,Ontario,L4L3B2,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,446c24d6f8394fd6ebd13ea08859fcf3,2026-03-25 23:20:20,2026-03-25 23:20:20,1
30,African Foodways Market Ltd.,1A-282 St Anne's Rd,Winnipeg,Manitoba,R2M3A7,Canada,,,,3B84YFL7,African Foodways Market Ltd.,,Manitoba,R2M3A7,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,97fca25f8d79f13eaf1fbe9e5084ea2f,2026-03-25 23:20:20,2026-03-25 23:20:20,1
31,AFRIFOODSCA INC.,201-2019 Simcoe St N,Oshawa,Ontario,L1G3Z2,Canada,,,,3B8B7N8R,,,Ontario,L1G3Z2,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,d984c1ac739dae64271fee7bc5b184c9,2026-03-25 23:20:20,2026-03-25 23:20:20,1
