id,company_name,address,city,state,zip_code,country,phone,email,website,location_id,doing_business_as,accreditation_program,accreditation_type,accreditation_level,programme_category,program_status,effective_date,resurvey_date,days_until_resurvey,certification_number,specialty_code,bed_count,trauma_level,teaching_status,services_offered,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
88,APEX Vascular Outpatient Center LLC,460 Medical Park Dr. #105,Lenoir City,TN,37772,United States,,,,440408,,AMBULATORY SURGERY CENTER,ambulatorySurgicalCenterDeemed,Deemed Status,Ambulatory / Surgical,Active,2025-02-19,2028-02-19,695,,ambulatorySurgicalCenterDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.245488+00:00,20260326_061233,f1a856a17566c8d8f5ec32c47dcc5a0d,2026-03-26 06:12:59,2026-03-26 06:12:59,1
89,Arrowhead Regional Medical Center,400 North Pepper Ave,Colton,CA,92324,United States,,,https://www.arrowheadmedcenter.org,195495,,COMPREHENSIVE STROKE,comprehensiveStroke,Certified,Stroke Centre,Active,2023-05-16,2024-11-16,-495,,comprehensiveStroke,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.245488+00:00,20260326_061233,d0fc922357fe2c68f85030709b8f267b,2026-03-26 06:12:59,2026-03-26 06:12:59,1
90,Asante Rogue Regional Medical Center,2825 E. Barnett Road,Medical Center,OR,97504,United States,,,https://www.asante.org,440613,,THROMBECTOMY STROKE,thrombectomyStroke,Certified,Stroke Centre,Active,2025-10-23,2027-04-23,393,,thrombectomyStroke,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.245488+00:00,20260326_061233,0032b097a84510a9a04345c850b106da,2026-03-26 06:12:59,2026-03-26 06:12:59,1
91,ASC Northwest,850 W Ironwood Dr,Coeur d'Alene,ID,83814-4903,United States,,,,439367,,AMBULATORY SURGERY CENTER,ambulatorySurgicalCenterDeemed,Deemed Status,Ambulatory / Surgical,Active,2023-04-06,2026-04-06,11,,ambulatorySurgicalCenterDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.245488+00:00,20260326_061233,2291c5acf6d4b6177b1f545e65d71be5,2026-03-26 06:12:59,2026-03-26 06:12:59,1
92,Ashland Hospital Corporation,2201 Lexington Ave.,Ashland,KY,41101,United States,,,,440267,UK King’s Daughters Medical Center,THROMBECTOMY STROKE,thrombectomyStroke,Certified,Stroke Centre,Active,2024-09-24,2026-03-24,-2,,thrombectomyStroke,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.245488+00:00,20260326_061233,39aad631f17fd4fef2c95561b4f4d99e,2026-03-26 06:12:59,2026-03-26 06:12:59,1
93,Association of South Bay Surgeons Vascular Center,23560 Madison Street #110,Torrance,CA,90505,United States,,,,440429,,AMBULATORY SURGERY CENTER,ambulatorySurgicalCenterDeemed,Deemed Status,Ambulatory / Surgical,Active,2025-03-19,2028-03-19,724,,ambulatorySurgicalCenterDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.245488+00:00,20260326_061233,9aba5e91d2a219c53210398eedc626b6,2026-03-26 06:12:59,2026-03-26 06:12:59,1
94,Aultman Orrville Hospital,832 S. Main Street,Orrville,OH,44667,United States,,,http://www.aultmanorrville.org/,430419,Aultman Orrville Hospital,CRITICAL ACCESS HOSPITAL,criticalAccessHospitalDeemed,Deemed Status,Hospital,Active,2025-10-04,2028-10-04,923,,criticalAccessHospitalDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.245488+00:00,20260326_061233,68c06375421221b8924492f03cb4dd71,2026-03-26 06:12:59,2026-03-26 06:12:59,1
95,Aultman Orrville Hospital (Stroke Ready),832 South Main Street,Orrville,OH,44667,United States,,,https://www.aultmanorrville.com,439607,,STROKE READY,strokeReady,Certified,Stroke Centre,Active,2026-06-12,2029-06-12,1174,,strokeReady,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.245488+00:00,20260326_061233,ba9f14dce8a4b2bb62514b79a3dc1628,2026-03-26 06:12:59,2026-03-26 06:12:59,1
96,Avera Marshall Regional Medical Center,300 South Bruce Street,Marshall,MN,56258,United States,,,https://www.avera.org,394538,,CRITICAL ACCESS HOSPITAL,criticalAccessHospitalDeemed,Deemed Status,Hospital,Active,2024-10-03,2027-10-03,556,,criticalAccessHospitalDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.245488+00:00,20260326_061233,8c63811a1cd7dee710375afbb2d147c1,2026-03-26 06:12:59,2026-03-26 06:12:59,1
97,Baptist Health Deaconess Madisonville,900 Hospital Drive,Madisonville,KY,42431,United States,,,https://www.baptisthealthdeaconess.com/,440357,,ACUTE CARE HOSPITAL,acuteCareDeemed,Deemed Status,Hospital,Active,2025-09-10,2028-09-10,899,,acuteCareDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.245488+00:00,20260326_061233,426d9dcf773bb1297bf4ebb24d2b1d95,2026-03-26 06:12:59,2026-03-26 06:12:59,1
98,Baptist Health Floyd (Joint Replacement),1850 State Street,New Albany,IN,47150,United States,,,,440046,,JOINT REPLACEMENT ADVANCED WITH DISTINCTION (INPATIENT),jointReplacementAdvancedWithDistinctionInpatient,Certified,Joint Replacement,Active,2025-03-27,2026-09-27,185,,jointReplacementAdvancedWithDistinctionInpatient,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.245488+00:00,20260326_061233,e10905e0846758d6005d3324d7c0e933,2026-03-26 06:12:59,2026-03-26 06:12:59,1
99,"Baptist Healthcare System, Inc. dba Baptist Health Corbin",1 Trillium Way,Corbin,KY,40701,United States,,,,440176,,ACUTE CARE HOSPITAL,acuteCareDeemed,Deemed Status,Hospital,Active,2024-09-25,2027-09-25,548,,acuteCareDeemed,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.245488+00:00,20260326_061233,3eb6ddb9714ac1ea527f45eb151561f7,2026-03-26 06:12:59,2026-03-26 06:12:59,1
100,"Baptist Healthcare System, Inc. dba Baptist Health Floyd",1850 State St.,New Albany,IN,47150,United States,,,https://www.baptisthealthfloyd.com,381654,,PRIMARY STROKE,primaryStroke,Certified,Stroke Centre,Active,2025-09-30,2027-03-30,369,,primaryStroke,,,,,achc_accredited_providers,https://achc.org/search-facilities/,2026-03-26T06:12:59.245488+00:00,20260326_061233,754b7783daefbc4c610e3ad6e1d7b3a8,2026-03-26 06:12:59,2026-03-26 06:12:59,1
