id,company_name,address,city,state,zip_code,country,phone,email,website,crd_number,sec_file_number,sec_region,registration_status,adviser_type,umbrella_registration,has_regulatory_aum,aum_total,aum_discretionary,aum_non_discretionary,num_accounts,total_employees,employees_investment_advisory,has_us_clients,has_non_us_clients,advisory_services,compensation_arrangements,affiliated_broker_dealer,affiliated_banking_institution,affiliated_insurance_company,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
89,JENSEN INVESTMENT MANAGEMENT INC.,5500 MEADOWS ROAD,LAKE OSWEGO,OR,97035-3623,United States,,,https://WWW.JENSENPRIVATECLIENT.COM,105281,801-32726,SFRO,,Registered,N,N,,,,,12,5,Y,N,,% of AUM,N,N,N,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.644246+00:00,20260326_142005,30a7ab323e8150534cb77c7727bf83c0,2026-03-25 17:40:01,2026-03-26 14:20:37,0
90,WASMER SCHROEDER,600 FIFTH AVENUE SOUTH,NAPLES,FL,34102,United States,,,https://TWITTER.COM/WASMERSCHROEDER,105323,801-32554,MIRO,,Registered,N,Y,"$2,733,782,380",,"$2,733,782,380",,33,,Y,N,,% of AUM,N,N,N,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.644246+00:00,20260326_142005,f496dd6b29ce4964934ba545e938bf4a,2026-03-25 17:40:01,2026-03-26 14:20:37,0
91,THE PORTOLA GROUP INC,1250 CHURCH STREET,"ST. HELENA, CALIFORNIA",CA,94574-1207,United States,,,http://WWW.PORTOLAGROUP.COM,105359,801-14344,SFRO,,Registered,N,N,,,,,1,,N,N,,% of AUM,N,N,N,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.644246+00:00,20260326_142005,780b5e564c18d094fa76bc3fb250876b,2026-03-25 17:40:01,2026-03-26 14:20:37,0
92,"INVESCO ADVISERS, INC.","1555 PEACHTREE STREET, N.E.",ATLANTA,GA,30309,United States,,,http://WWW.INSTITUTIONAL.INVESCO.COM,105360,801-33949,ARO,,Registered,N,Y,"$6,893,299,349",,"$6,893,299,349",,787,956,N,N,Portfolio mgmt - businesses,% of AUM,Y,N,Y,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.644246+00:00,20260326_142005,c356478f7c9059195f9c8f9b65e46b8c,2026-03-25 17:40:01,2026-03-26 14:20:37,0
93,MONETTA FINANCIAL SERVICES INC,1776-A SOUTH NAPERVILLE ROAD,WHEATON,IL,60189-5831,United States,,,http://WWW.MONETTA.COM,105367,801-21477,CHRO,,Registered,N,N,,,,,2,1,N,N,,% of AUM,N,N,N,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.644246+00:00,20260326_142005,3ef153ffedc8559258ecba246064d675,2026-03-25 17:40:01,2026-03-26 14:20:37,0
94,PROFESSIONAL ADVISORY SERVICES INC,2770 INDIAN RIVER BLVD,VERO BEACH,FL,32960,United States,,,http://WWW.PA-SERVICES.COM,105397,801-14090,MIRO,,Registered,N,N,,,,,8,,Y,N,,% of AUM,N,N,N,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.644246+00:00,20260326_142005,5feb07ed5df9b88ac7e9f62a63ff1a16,2026-03-25 17:40:01,2026-03-26 14:20:37,0
95,DATATEX INVESTMENT SERVICES INC,7800 FORSYTH BLVD,CLAYTON,MO,63105,United States,,,,105440,801-31747,CHRO,,Registered,N,N,,,,,16,16,N,N,,% of AUM,Y,N,N,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.644246+00:00,20260326_142005,544d0498258306e27879a8d87493fa8f,2026-03-25 17:40:01,2026-03-26 14:20:37,0
96,"BNP PARIBAS ASSET MANAGEMENT USA, INC.",200 PARK AVENUE,NEW YORK,NY,10166,United States,,,http://INSTITUTIONAL.BNPPARIBAS-AM.COM,105455,801-10577,NYRO,,Registered,N,N,,,,,64,10,N,N,Portfolio mgmt - individuals; Portfolio mgmt - businesses,% of AUM,Y,N,Y,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.644246+00:00,20260326_142005,a9f1ed26c2600656d18eeb64bf1d8f0e,2026-03-25 17:40:01,2026-03-26 14:20:37,0
97,"BECK, MACK & OLIVER LLC",565 FIFTH AVENUE,NEW YORK,NY,10017-7111,United States,,,http://WWW.BECKMACK.COM,105466,801-482,NYRO,,Registered,N,N,,,,,9,,Y,N,,% of AUM,N,N,N,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.644246+00:00,20260326_142005,4d34609a813ed2606f2aa6995b38df2b,2026-03-25 17:40:01,2026-03-26 14:20:37,0
98,FLAHERTY & CRUMRINE INCORPORATED,301 E COLORADO BLVD,PASADENA,CA,91101-1911,United States,,,http://WWW.FLAHERTY-CRUMRINE.COM.,105499,801-19384,LARO,,Registered,N,N,,,,,9,,N,N,,% of AUM,N,N,N,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.644246+00:00,20260326_142005,8cbecc9995a16c0db1af79966a6b8241,2026-03-25 17:40:01,2026-03-26 14:20:37,0
99,THE PATTERSON CAPITAL CORPORATION,11100 SANTA MONICA BLVD,LOS ANGELES,CA,90025,United States,,,https://WWW.PATTERSONCAPITAL.COM,105507,801-13828,LARO,,Registered,N,N,,,,,4,,Y,N,,% of AUM,N,N,N,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.644246+00:00,20260326_142005,7145c3fa64b4650b87c6bfb3ec4842f7,2026-03-25 17:40:01,2026-03-26 14:20:37,0
100,"BARROW, HANLEY, MEWHINNEY & STRAUSS, LLC","2200 ROSS AVENUE, 31ST FLOOR",DALLAS,TX,75201-2761,United States,,,https://WWW.BARROWHANLEY.COM/,105519,801-31237,FWRO,,Registered,N,N,,,,,45,,Y,N,,% of AUM,Y,N,Y,sec_investment_advisers,https://adviserinfo.sec.gov/,2026-03-26T14:20:36.644246+00:00,20260326_142005,94735ce52c6d1791d189babc5f1a6308,2026-03-25 17:40:01,2026-03-26 14:20:37,0
