id,company_name,legal_name,trade_name,address,city,phone,website,email,cor_number,cor_issue_date,cor_expiry_date,cor_type,cor_standard,certifying_body,province,certification_status,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
16,1024071 ALBERTA LTD.,1024071 ALBERTA LTD.,,,,,,,20251016-4972,2025-10-16,2028-10-16,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,793498b7740fb3d3ebc5e00fb4c20207,2026-03-25 11:23:15,2026-03-25 11:23:15,1
17,1024476 ALBERTA LTD.,1024476 ALBERTA LTD.,,,,,,,20260113-SE5906,2026-01-13,2027-01-13,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,1f0d8d5e8091131fda9608e8ce9303e4,2026-03-25 11:23:15,2026-03-25 11:23:15,1
18,1029527 ALBERTA LTD.,1029527 ALBERTA LTD.,,,,,,,20240626-7439,2024-06-26,2027-06-26,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,3692499f33118a4dc0f1c855f520ae17,2026-03-25 11:23:15,2026-03-25 11:23:15,1
19,1033824 ALBERTA LTD.,1033824 ALBERTA LTD.,,,,,,,20250817-4672,2025-08-17,2028-08-17,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,c1dec9ac26f1d4affd3d35d9b7687d6f,2026-03-25 11:23:15,2026-03-25 11:23:15,1
20,10360210 CANADA INC.,10360210 CANADA INC.,,,,,,,20251124-4468,2025-11-24,2028-11-24,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,a10f1054097d0b5a8e4393059483a22c,2026-03-25 11:23:15,2026-03-25 11:23:15,1
21,1036123 ALBERTA LTD.,1036123 ALBERTA LTD.,,,,,,,20241025-8970,2024-10-25,2027-10-25,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,63d142c3440c9ec9f7e2019625aa368a,2026-03-25 11:23:15,2026-03-25 11:23:15,1
22,1036302 ALBERTA LTD.,1036302 ALBERTA LTD.,,,,,,,20251003-4423,2025-10-03,2028-10-03,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,30cafc93a8b1b4759e72abd836ecd6b2,2026-03-25 11:23:15,2026-03-25 11:23:15,1
23,1044313 ALBERTA LTD.,1044313 ALBERTA LTD.,,,,,,,20251210-SE4548,2025-12-10,2028-12-10,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,e09d90457eca18692dee4cb6fa89a77f,2026-03-25 11:23:15,2026-03-25 11:23:15,1
24,1045163 ALBERTA LTD.,1045163 ALBERTA LTD.,,,,,,,20240531-7270,2024-05-31,2027-05-31,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,78c15434c6b975ddd94ab9ab17214388,2026-03-25 11:23:15,2026-03-25 11:23:15,1
25,1046679 ALBERTA LTD.,1046679 ALBERTA LTD.,,,,,,,20250829-4167,2025-08-29,2028-08-29,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,d9ce919d8511cf0646b12662330c430f,2026-03-25 11:23:15,2026-03-25 11:23:15,1
